Row	Meal	Name	Pos
414	D	Ryvita Mini Chilli	69729
415	D	Chicken broth	69863
416	B	Mango	70002
417	B	Pork cuts	70141
418	B	Walnut	70275
419	S	Raw spinach	70543
420	L	Nonfat milk	70698
421	B	Colby cheese	70847
422	S	Croissant	71062
423	S	White rice	71261
424	S	Ham	71370
425	S	Broccoli	71500
426	S	Egg yolk	71736
427	S	Rich vanilla ice cream	71869
428	S	Green peas	71988
429	B	Muffins, oat bran	72106
430	L	Salad dressing with mayonnaise	72216
431	S	Cereals ready-to-eat, WEETABIX WHOLE WHEAT CEREAL	72356
432	S	Rye bread	72614
433	D	Hamburger patty	72881
434	D	Salsa	72993
435	D	Cola	73132
436	D	Colby cheese	73264
437	D	Rye bread	73479
438	D	Corn tortilla	73746
439	L	Fried egg	73981
440	L	Apple juice	74167
441	L	Low fat vanilla yogurt	74314
442	L	American cheese	74481
443	L	Hamburger	74698
444	L	Parmesan cheese	74808
445	L	Potato	74939
446	L	Popcorn	75158
447	L	American eel	75287
448	L	Cheese, Mexican blend	75445
449	L	Americano	75660
450	L	Vitamins and fish oil	75877
451	L	Cracker crisps	75983
452	L	Jam	76198
453	L	Chocolate milk	76322
454	L	Corn	76477
455	L	Mint chocolate - Eliz. Shaw mint crisp	76729
456	B	Orange juice with calcium	76891
457	S	Cracker crisps	77042
458	B	Rye bread	77257
459	B	Waffle	77524
460	L	Multi-grain bread	77674
461	D	Red kidney beans	77944
462	S	Pizza	78084
463	D	Whole-wheat toast	78225
464	L	Colby cheese	78490
465	L	Peanut butter	78705
466	B	Crisps	78820
467	L	Extra lean ham	78941
468	D	Sponge cake	79076
469	L	Milk chocolate	79224
470	L	Nectarines	79384
471	L	Rolls, dinner, plain, commercially prepared (includes brown-and-serve)	79571
472	L	Raisins	79694
473	L	Salami	79925
474	L	Roasted turkey meat	80051
475	L	Roast dinner	80167
476	S	Strawberry	80276
477	B	Sweet potato	80562
478	S	Reduced fat chips	80744
479	S	Hot cross bun	80883
480	S	Roasted chicken wing	80997
481	D	Roasted pork loin	81098
482	D	Taco shell	81228
483	S	Reduced fat cheese	81428
484	D	Cashew nuts	81638
485	D	Hamburger roll	81809
486	D	Vanilla ice cream	81929
487	D	Cadbury's mini roll	82057
488	D	Chicken breast meat	82177
489	D	Salami	82319
490	S	Orange juice concentrate	82445
491	D	Humous	82595
492	S	Rolls, french	82725
493	S	Cheese cracker	82948
494	S	Cabbage	83171
495	S	Crisps	83473
496	S	Frozen green peas	83594
497	D	Heavy whipping cream	83712
498	D	Broiled pork loin	83886
499	D	Cracker crisps	84015
500	D	Havarti cheese	84230
501	D	Cream cheese	84371
502	D	Ribena	84572
503	B	Espresso	84599
504	S	Latta	84699
505	D	Pear	84819
506	B	Cucumber	85017
507	D	Sugar	85247
508	B	Tortilla	85411
509	D	Fish - haddock fillet (Youngs homestyle)	85642
510	D	Beef chuck for stew	85750
511	D	Roasted chicken meat	85861
512	D	Parmesan cheese	86051
513	D	Sardine in tomato sauce	86182
514	D	Canned tomato sauce	86339
515	D	Chicken nugget	86482
516	B	Wheaties	86603
517	D	Bottled water	86729
518	D	Yates Greers pork pie	86796
519	L	Light cola	86899
520	L	DOMINO'S 14" Cheese Pizza, Classic Hand-Tossed Crust	87023
521	L	Thin crust pizza	87174
522	L	Thorntons 	87325
523	L	Pinto beans	87451
524	L	Yellow tortilla chips	87577
525	L	Scrambled egg	87714
526	L	Egg, whole, cooked, omelet	87922
527	L	Hot cross bun	88032
528	L	PIZZA HUT 14" Super Supreme Pizza, Hand-Tossed Crust	88146
529	S	Light low fat fruit yogurt	88300
530	L	Macaroni cheese	88466
531	L	Soy sauce	88642
532	L	Sausage	88800
533	L	Cashew nuts	88915
534	S	Potato	89086
535	S	Honey	89305
536	L	Instant coffee	89388
537	S	Light ricotta	89497
538	S	Pork cuts	89632
539	S	Hamburger	89766
540	B	Corn	89876
541	S	Pancake	90128
542	D	Salted butter	90318
543	L	Oatmeal	90505
544	L	Almonds	90631
545	L	Pasta with tomato sauce	90851
546	L	Pate	90979
547	L	Sandwich steak	91101
548	L	Pork chops	91233
549	L	Fish sticks	91360
550	L	Sweet potato	91531
551	L	Cream	91713
552	L	Sugar	91837
553	L	Ramen noodle soup	92001
554	L	Dates, medjool	92156
555	D	Canned light tuna	92260
556	D	Pepsi 	92422
557	D	Activia	92542
558	D	Mango	92646
559	D	Roasted turkey	92785
560	D	Roasted peanuts	92909
561	D	Corn oil	93037
562	D	Cornbread	93124
563	D	Tomato soup	93261
564	L	Hard bread roll	93441
565	D	Frozen pizza	93604
566	L	Fresh orange juice	93746
567	L	Butter stick	93889
568	B	Vanilla almond	94062
569	B	Cheese spread	94178
570	B	Banana milkshake	94317
571	B	Light low fat fruit yogurt	94543
572	B	Olive oil	94709
573	B	Roast dinner	94815
574	B	Chocolate lite	94924
575	B	Corn tortilla	95084
576	L	Pomegranate	95319
577	B	Plain dinner rolls	95361
578	B	Salami	95484
579	B	Papayas	95610
580	B	Ketchup	95818
581	B	Mozzarella cheese	95949
582	S	Hard candy	96162
583	S	Yellow tortilla chips	96246
584	S	Olive oil	96383
585	S	Colby cheese	96489
586	S	Jellies	96704
587	S	Salsa	96841
588	S	Sweet potato	96980
589	S	Nectarines	97162
590	B	Green lettuce	97349
591	B	Hashes browns	97653
592	D	Fruit	97785
593	L	Baby food, fortified cereal bar, fruit filling	97970
594	D	Thorntons 	98145
595	D	Special K cereal	98271
596	L	Chocolate lite	98375
597	D	Pimply squash	98535
598	L	Ceasar dressing	98733
599	D	Chocolate cake	98886
600	D	Pineapple	99028
601	D	White beans	99266
602	D	Vitamins and fish oil	99389
603	L	Grape juice	99495
604	D	Fruit	99644
605	D	Rice chex	99824
606	D	Fish sticks	99940
607	D	Rolls, french	100111
608	D	Waffle	100334
609	D	Chocolate milk	100484
610	D	Brussel sprout	100639
611	D	Jam	100765
612	D	DOMINO'S 14" Cheese Pizza, Classic Hand-Tossed Crust	100889
613	D	Bagel	101040
614	L	Roast potatoes 	101250
615	B	Cornbread	101469
616	B	Orange juice concentrate	101606
617	B	Cantaloupe	101756
618	B	Mayonnaise dressing	102101
619	B	Cracker crisps	102226
620	B	Cola	102441
621	S	Beef	102573
622	S	Blueberry muffin	102755
623	S	Oats	103009
624	L	Breaded chicken	103130
625	L	Chicken wing	103335
626	L	Roasted turkey	103459
627	L	Swiss cheese	103583
628	L	Black beans	103796
629	L	Humous	103922
630	L	Vanilla ice cream	104052
631	D	PIZZA HUT 14" Super Supreme Pizza, Hand-Tossed Crust	104180
632	L	White mushroom	104334
633	D	Chocolate chip cookie	104488
634	L	Fortified low fat fruit yogurt	104676
635	L	Frozen green peas	104852
636	B	Broccoli	104970
637	L	Cream cheese	105206
638	B	Biscuits - Foxes Assortment 	105407
639	B	Pork chops	105495
640	B	Tomato paste	105622
641	L	Jacobs low fat crackers	105769
642	B	Corn oil	105985
643	B	Salsa	106072
644	B	Roses	106211
645	B	Cabbage	106334
646	B	Turkey breast	106636
647	B	Mixed vegetables	106822
648	B	Cocoa puffs	106939
649	B	Oatmeal squares	107058
650	B	Instant tea	107180
