Row	Meal	Name	Pos
356		Fibre un	58183
357		Choux à cacao	58299
358		Crise du pain Cannelle	58421
359		Avoine grillé miel	58556
360		Vanille amande	58676
361		Jus de pomme	58795
362		Compote de pommes	58957
363		Avocat	59094
364		Banane	59286
365		Bleuets	59602
366		Jus de raisin	59752
367		Raisins	59916
368		Mangue	60071
369		Cantaloup	60220
370		Jus d'orange	60566
371		Jus d'orange concentré	60724
372		Concentré de jus d'orange congelé	60889
373		Poire	61058
374		Ananas	61270
375		Fraise	61529
376		Fraises congelées	61832
377		Melon d'eau	62139
378		Jus de pomme, raisin et poire	62481
379		Gras grillé sur la longe de porc	62645
380		Longe de porc grillé	62796
381		Longe de porc rôti	62946
382		Côtelettes de porc	63097
383		Jambon	63249
384		Rôti de gras sur le jambon	63400
385		Jambon rôti	63533
386		Jambon extra-maigre	63664
387		Jambon rôti extra maigre	63816
388		Coupes de porc	63968
389		Porc haché	64123
390		Jambon avec jus de fruits naturels	64245
391		Jambon et eau	64405
392		Jambon - eau ajoutée	64561
393		Asperges	64720
394		Haricots verts	64866
395		Haricots verts en conserve	65003
396		Haricots verts surgelés	65177
397		Brocoli cru	65312
398		Brocoli	65538
399		Brocoli haché	65763
400		Brocoli	65987
401		Chou cru	66211
402		Chou	66573
403		Jus de carotte	66933
404		Carottes cuites	67252
405		Carottes surgelées	67569
406		Céleri	67888
407		Verts de chicorée	68135
408		Chou vert	68261
409		Maïs	68394
410		Maïs en conserve	68686
411		Maïs congelé	68838
412		Concombre	69130
413		Chou frisé	69376
414		Salade verte	69503
415		Champignon blanc	69855
416		Feuilles de moutarde	70022
417		Oignon	70154
418		Oignon cuit	70466
419		Ciboule	70781
420		Persil	70991
421		Pois verts	71155
422		Pois verts en conserve	71282
423		Pois verts congelés	71409
424		Pomme de terre	71536
425		Pomme de terre cuite	71756
426		Pomme de terre dans la peau	71973
427		Pomme de terre bouillie	72189
428		Purée de pommes de terre	72406
429		Choux à la pomme de terre	72534
430		Frites au four français	72712
431		Épinards crus	72908
432		Épinards cuits	73088
433		Épinards en conserve	73215
434		Patate au four	73340
435		Patate douce	73554
436		Tomate	73764
437		Tomate cuite	74118
438		Tomates en conserve	74407
439		Tomates à l'étuvée en conserve	74598
440		Jus de tomate	74885
441		Pâte de tomate	75052
442		Navet	75215
443		Jus de légumes en conserve	75350
444		Mélange de légumes	75516
445		Courges d'été	75642
446		Courge d'hiver	75855
447		Patates douces en conserve	76067
448		Jus de carotte en conserve	76279
449		Pomme de terre cuite avec la peau	76444
450		Pâte de tomate	76663
451		Graines de tournesol	76828
452		Graines de tournesol grillées	76956
453		Amandes	77085
454		Amandes blanchies	77340
455		Amandes rôties	77579
456		Noyer	77817
457		Graines de tournesol huile rôti	78105
458		Amandes grillées salées	78237
459		Noix de cajou	78477
460		Noix mélangées	78660
461		Huile rôti noix mélangées	78786
462		Foie de boeuf	78918
463		Foie de boeuf	79044
464		Poitrine de boeuf	79170
465		Côte de boeuf	79286
466		Boeuf	79401
467		Rôti de palette de boeuf	79600
468		Côte de boeuf	79717
469		Côte de boeuf	79834
470		Ronde de boeuf	79954
471		Bifteck de haut de ronde	80070
472		Haut de surlonge	80186
473		Haut de surlonge	80306
474		Bière	80424
475		Bière légèreliqueur de preuve	80564
476		80	80729
477		Vin rouge	80823
478		Vin blanc	80927
479		Jus de fruits et de légumes	81029
480		Boisson énergisante RedBull	81178
481		Sirop au chocolat	81349
482		Décaféiné café	81479
483		Café	81622
484		Expresso	81773
485		Café instantané	81896
486		Boisson aux fruits en conserve	82029
487		Boisson aux fruits enrichi	82196
488		Limonade	82374
489		Thé décaféiné	82561
490		Thé	82708
491		Thé instantané	82855
492		Eau du robinet	82992
493		Eau de fruits aromatisée	83121
494		86 preuve liqueur	83285
495		Eau embouteillée	83381
496		Eau enrichie de fruits aromatisée	83511
497		Bâtonnets de poisson	83673
498		Poisson plat	83854
499		Hareng	83974
500		Saumon	84214
501		Thon pâle en conserve	84319
502		Crabe	84506
503		Crevettes	84713
504		Crevettes en conserve	84859
505		Palourdes	85005
506		Palourdes en conserve	85191
507		Huître	85381
508		Silure	85518
509		Truite arc-en-ciel	85636
510		Fèves au lard	85758
511		Haricots noirs	85883
512		Haricots rouges en conserve	86028
513		Les haricots rouges	86169
514		Haricots blancs	86326
515		Lentilles	86468
516		Lentilles cuites	86618
517		Arachides salées	86762
518		Cacahuètes grillées salées	86911
519		Beurre d'arachide	87056
520		Haricots frits	87188
521		Boisson de soya enrichie	87326
522		Réduit la graisse de beurre d'arachide	87491
523		Cacahuètes sans sel	87618
524		Arachides grillées	87765
525		Pain de maïs	87908
526		Pain français	88053
527		Pain italien	88295
528		Pain multi-grains	88506
529		Pain de seigle	88821
530		Pain	89133
531		Pain blanc	89450
532		Pain blanc	89764
533		Pain de blé entier	90070
534		Pain de blé entier grillé	90383
535		Mie de pain	90697
536		Gâteau au chocolat	90838
537		Gâteau éponge	90988
538		Gâteau au fromage	91136
539		Cookies aux pépites de chocolat	91284
540		Biscuits sandwichs au chocolat	91458
541		Biscuits au beurre d'arachides	91633
542		Biscuits sandwichs vanille	91806
543		Biscuit de fromage	91981
544		Biscuits salés	92197
545		Biscuits au beurre d'arachide	92410
546		Craquelins de blé	92626
547		En anneau	92839
548		Crêpe	93088
549		Tarte aux pommes	93285
550		Tarte à la citrouille	93475
551		Rouleau de dîner	93668
552		Rouleau de pain dur	93791
553		Rouleau de cannelle	93982
554		La poudre à pâte	94175
555		Levure	94303
556		Gaufre	94461
557		Gaufres au babeurre	94615
558		Pâtisserie grille-pain givré	94769
559		Croustilles de maïs	94902
560		Feuilletés de fromage	95054
561		Maïs soufflé	95229
562		Maïs soufflé	95357
563		Chocolat à cuisson	95495
